Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
16249,660171,2013,2013-11-22,ICC World Twenty20 Qualifier,male,IT20,United Arab Emirates,Canada,Canada,field,United Arab Emirates,"Sheikh Zayed Stadium, Abu Dhabi"
16251,660177,2013,2013-11-22,ICC World Twenty20 Qualifier,male,IT20,Ireland,Uganda,Ireland,bat,Ireland,"Zayed Cricket Stadium, Abu Dhabi"
16253,660169,2013,2013-11-21,ICC World Twenty20 Qualifier,male,IT20,Bermuda,Kenya,Kenya,field,Kenya,"ICC Academy Ground No 2, Dubai"
16254,660163,2013,2013-11-21,ICC World Twenty20 Qualifier,male,IT20,Scotland,Papua New Guinea,Papua New Guinea,field,Scotland,"ICC Global Cricket Academy, Dubai"
16256,660159,2013,2013-11-20,ICC World Twenty20 Qualifier,male,IT20,Netherlands,Nepal,Netherlands,field,Netherlands,"Sharjah Cricket Association Stadium, Sharjah"
16258,660153,2013,2013-11-20,ICC World Twenty20 Qualifier,male,IT20,Ireland,United States of America,United States of America,field,Ireland,"Sheikh Zayed Stadium, Abu Dhabi"
16259,660157,2013,2013-11-20,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,Namibia,Namibia,bat,Hong Kong,"Sheikh Zayed Stadium Nursery 2, Abu Dhabi"
16260,660151,2013,2013-11-19,ICC World Twenty20 Qualifier,male,IT20,Nepal,Papua New Guinea,Papua New Guinea,bat,Nepal,"Sharjah Cricket Association Stadium, Sharjah"
16261,660147,2013,2013-11-19,ICC World Twenty20 Qualifier,male,IT20,Canada,Uganda,Canada,bat,Canada,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi"
16262,660145,2013,2013-11-19,ICC World Twenty20 Qualifier,male,IT20,United Arab Emirates,Hong Kong,United Arab Emirates,field,United Arab Emirates,"Sheikh Zayed Stadium, Abu Dhabi"
16263,660143,2013,2013-11-19,ICC World Twenty20 Qualifier,male,IT20,Denmark,Netherlands,Denmark,bat,Netherlands,"ICC Academy Ground No 2, Dubai"
16265,660141,2013,2013-11-19,ICC World Twenty20 Qualifier,male,IT20,Italy,Namibia,Italy,bat,Namibia,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi"
16266,660137,2013,2013-11-18,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,Canada,Canada,field,Hong Kong,"Abu Dhabi Oval 1, Abu Dhabi"
16267,660133,2013,2013-11-18,ICC World Twenty20 Qualifier,male,IT20,Italy,Uganda,Uganda,field,Uganda,"Sheikh Zayed Stadium, Abu Dhabi"
16268,660135,2013,2013-11-18,ICC World Twenty20 Qualifier,male,IT20,Denmark,Kenya,Denmark,bat,Kenya,"ICC Global Cricket Academy, Dubai"
16269,660139,2013,2013-11-18,ICC World Twenty20 Qualifier,male,IT20,Nepal,Scotland,Scotland,field,Scotland,"ICC Academy Ground No 2, Dubai"
16270,660125,2013,2013-11-17,ICC World Twenty20 Qualifier,male,IT20,Namibia,United States of America,United States of America,field,Namibia,"Abu Dhabi Oval 1, Abu Dhabi"
16271,660127,2013,2013-11-17,ICC World Twenty20 Qualifier,male,IT20,Ireland,United Arab Emirates,Ireland,bat,Ireland,"Abu Dhabi Oval 2, Abu Dhabi"
16272,660115,2013,2013-11-16,ICC World Twenty20 Qualifier,male,IT20,Uganda,Hong Kong,Uganda,bat,Hong Kong,"Abu Dhabi Oval 1, Abu Dhabi"
16273,660121,2013,2013-11-16,ICC World Twenty20 Qualifier,male,IT20,Kenya,Nepal,Nepal,field,Nepal,"ICC Academy Oval 2, Dubai"
16277,660111,2013,2013-11-16,ICC World Twenty20 Qualifier,male,IT20,Denmark,Bermuda,Denmark,bat,Bermuda,"ICC Academy Oval 1, Dubai"
