,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
332,1427821,2024,2024-05-01,Rachael Heyhoe Flint Trophy,female,ODM,Thunder,Southern Vipers,Southern Vipers,field,Southern Vipers,"Sir Paul Getty's Ground, Wormsley"
333,1427820,2024,2024-05-01,Rachael Heyhoe Flint Trophy,female,ODM,South East Stars,Western Storm,Western Storm,field,Western Storm,"The Cooper Associates County Ground, Taunton"
334,1427819,2024,2024-05-01,Rachael Heyhoe Flint Trophy,female,ODM,Central Sparks,Sunrisers,Sunrisers,field,Sunrisers,"Chester Road North Ground, Kidderminster"
335,1429394,2024,2024-04-30,India Women tour of Bangladesh,female,T20,Bangladesh,India,Bangladesh,bat,India,"Sylhet International Cricket Stadium, Academy Ground, Sylhet"
337,1426086,2024,2024-04-30,West Indies Women tour of Pakistan,female,T20,West Indies,Pakistan,Pakistan,field,West Indies,"National Stadium, Karachi"
343,1425649,2024,2024-04-29,ICC Women's T20 World Cup Qualifier,female,T20,Netherlands,United Arab Emirates,Netherlands,bat,United Arab Emirates,"Zayed Cricket Stadium, Abu Dhabi"
344,1425648,2024,2024-04-29,ICC Women's T20 World Cup Qualifier,female,T20,Uganda,Thailand,Thailand,field,Thailand,"Tolerance Oval, Abu Dhabi"
347,1425646,2024,2024-04-29,ICC Women's T20 World Cup Qualifier,female,T20,Scotland,United States of America,United States of America,field,Scotland,"Tolerance Oval, Abu Dhabi"
348,1425647,2024,2024-04-29,ICC Women's T20 World Cup Qualifier,female,T20,Ireland,Zimbabwe,Zimbabwe,field,Ireland,"Zayed Cricket Stadium, Abu Dhabi"
350,1426085,2024,2024-04-28,West Indies Women tour of Pakistan,female,T20,Pakistan,West Indies,Pakistan,bat,West Indies,"National Stadium, Karachi"
351,1429393,2024,2024-04-28,India Women tour of Bangladesh,female,T20,India,Bangladesh,India,bat,India,"Sylhet International Cricket Stadium, Academy Ground, Sylhet"
356,1427816,2024,2024-04-27,Rachael Heyhoe Flint Trophy,female,ODM,Western Storm,Thunder,Thunder,field,Western Storm,"Old Trafford, Manchester"
357,1427814,2024,2024-04-27,Rachael Heyhoe Flint Trophy,female,ODM,South East Stars,Central Sparks,South East Stars,bat,South East Stars,"Kent County Cricket Ground, Beckenham"
358,1425645,2024,2024-04-27,ICC Women's T20 World Cup Qualifier,female,T20,Scotland,Sri Lanka,Sri Lanka,field,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi"
360,1427817,2024,2024-04-27,Rachael Heyhoe Flint Trophy,female,ODM,Southern Vipers,Northern Diamonds,Northern Diamonds,field,Southern Vipers,"The Rose Bowl, Southampton"
361,1425642,2024,2024-04-27,ICC Women's T20 World Cup Qualifier,female,T20,Netherlands,Vanuatu,Netherlands,bat,Netherlands,"Tolerance Oval, Abu Dhabi"
362,1425643,2024,2024-04-27,ICC Women's T20 World Cup Qualifier,female,T20,United States of America,Uganda,United States of America,bat,Uganda,"Zayed Cricket Stadium, Abu Dhabi"
363,1425644,2024,2024-04-27,ICC Women's T20 World Cup Qualifier,female,T20,United Arab Emirates,Zimbabwe,United Arab Emirates,bat,Zimbabwe,"Tolerance Oval, Abu Dhabi"
364,1427815,2024,2024-04-27,Rachael Heyhoe Flint Trophy,female,ODM,The Blaze,Sunrisers,Sunrisers,field,Sunrisers,"County Ground, Chelmsford"
365,1426084,2024,2024-04-26,West Indies Women tour of Pakistan,female,T20,West Indies,Pakistan,West Indies,bat,West Indies,"National Stadium, Karachi"
366,1429635,2024,2024-04-26,BCA Kalahari Women's T20 International Tournament,female,T20,Botswana,Rwanda,Rwanda,field,Rwanda,"Botswana Cricket Association Oval 1, Gaborone"
368,1429634,2024,2024-04-26,BCA Kalahari Women's T20 International Tournament,female,T20,Mozambique,Lesotho,Mozambique,bat,Mozambique,"Botswana Cricket Association Oval 1, Gaborone"
369,1429630,2024,2024-04-25,BCA Kalahari Women's T20 International Tournament,female,T20,Mozambique,Rwanda,Mozambique,bat,Rwanda,"Botswana Cricket Association Oval 1, Gaborone"
370,1429631,2024,2024-04-25,BCA Kalahari Women's T20 International Tournament,female,T20,Botswana,Lesotho,Botswana,bat,Botswana,"Botswana Cricket Association Oval 2, Gaborone"
372,1429632,2024,2024-04-25,BCA Kalahari Women's T20 International Tournament,female,T20,Botswana,Rwanda,Rwanda,field,Rwanda,"Botswana Cricket Association Oval 1, Gaborone"
373,1425638,2024,2024-04-25,ICC Women's T20 World Cup Qualifier,female,T20,Sri Lanka,Thailand,Sri Lanka,bat,Sri Lanka,"Tolerance Oval, Abu Dhabi"
374,1425639,2024,2024-04-25,ICC Women's T20 World Cup Qualifier,female,T20,United Arab Emirates,Ireland,Ireland,field,Ireland,"Zayed Cricket Stadium, Abu Dhabi"
375,1425640,2024,2024-04-25,ICC Women's T20 World Cup Qualifier,female,T20,Scotland,Uganda,Uganda,field,Scotland,"Tolerance Oval, Abu Dhabi"
376,1425641,2024,2024-04-25,ICC Women's T20 World Cup Qualifier,female,T20,Zimbabwe,Vanuatu,Zimbabwe,bat,Vanuatu,"Zayed Cricket Stadium, Abu Dhabi"
378,1427813,2024,2024-04-24,Rachael Heyhoe Flint Trophy,female,ODM,Central Sparks,Southern Vipers,Southern Vipers,field,Southern Vipers,"Sir Paul Getty's Ground, Wormsley"
380,1427812,2024,2024-04-24,Rachael Heyhoe Flint Trophy,female,ODM,Thunder,Sunrisers,Sunrisers,field,Thunder,"Old Trafford, Manchester"
381,1429014,2024,2024-04-24,Mongolia Women tour of Indonesia,female,T20,Mongolia,Indonesia,Mongolia,bat,Indonesia,"Udayana Cricket Ground, Bali"
382,1429013,2024,2024-04-24,Mongolia Women tour of Indonesia,female,T20,Indonesia,Mongolia,Indonesia,bat,Indonesia,"Udayana Cricket Ground, Bali"
383,1427811,2024,2024-04-24,Rachael Heyhoe Flint Trophy,female,ODM,Northern Diamonds,Western Storm,Western Storm,field,Northern Diamonds,"Headingley, Leeds"
384,1427810,2024,2024-04-24,Rachael Heyhoe Flint Trophy,female,ODM,The Blaze,South East Stars,The Blaze,bat,South East Stars,"Grace Road, Leicester"
386,1429628,2024,2024-04-23,BCA Kalahari Women's T20 International Tournament,female,T20,Mozambique,Botswana,Mozambique,bat,Botswana,"Botswana Cricket Association Oval 1, Gaborone"
387,1429626,2024,2024-04-23,BCA Kalahari Women's T20 International Tournament,female,T20,Botswana,Rwanda,Botswana,bat,Rwanda,"Botswana Cricket Association Oval 1, Gaborone"
388,1429627,2024,2024-04-23,BCA Kalahari Women's T20 International Tournament,female,T20,Mozambique,Lesotho,Lesotho,field,Mozambique,"Botswana Cricket Association Oval 2, Gaborone"
389,1426083,2024,2024-04-23,West Indies Women tour of Pakistan,female,ODI,West Indies,Pakistan,West Indies,bat,West Indies,"National Stadium, Karachi"
394,1429011,2024,2024-04-22,Mongolia Women tour of Indonesia,female,T20,Mongolia,Indonesia,Mongolia,bat,Indonesia,"Udayana Cricket Ground, Bali"
395,1429012,2024,2024-04-22,Mongolia Women tour of Indonesia,female,T20,Indonesia,Mongolia,Indonesia,bat,Indonesia,"Udayana Cricket Ground, Bali"
397,1429623,2024,2024-04-22,BCA Kalahari Women's T20 International Tournament,female,T20,Mozambique,Rwanda,Mozambique,bat,Rwanda,"Botswana Cricket Association Oval 2, Gaborone"
399,1429622,2024,2024-04-22,BCA Kalahari Women's T20 International Tournament,female,T20,Botswana,Lesotho,Botswana,bat,Botswana,"Botswana Cricket Association Oval 1, Gaborone"
400,1429625,2024,2024-04-22,BCA Kalahari Women's T20 International Tournament,female,T20,Mozambique,Botswana,Mozambique,bat,Botswana,"Botswana Cricket Association Oval 2, Gaborone"
402,1429624,2024,2024-04-22,BCA Kalahari Women's T20 International Tournament,female,T20,Lesotho,Rwanda,Lesotho,bat,Rwanda,"Botswana Cricket Association Oval 1, Gaborone"
