Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
14559,940413,2015,2015-11-19,Zimbabwe Women tour of Bangladesh,female,IT20,Bangladesh,Zimbabwe,Bangladesh,field,Bangladesh,"Sheikh Kamal International Cricket Stadium, Cox's Bazar"
14564,940409,2015,2015-11-17,Zimbabwe Women tour of Bangladesh,female,IT20,Bangladesh,Zimbabwe,Zimbabwe,field,Bangladesh,"Sheikh Kamal International Cricket Stadium, Cox's Bazar"
15491,778013,2014,2014-09-26,Asian Games Women's Cricket Competition,female,IT20,China,Sri Lanka,China,bat,Sri Lanka,"Yeonhui Cricket Ground, Incheon"
15492,778015,2014,2014-09-26,Asian Games Women's Cricket Competition,female,IT20,Bangladesh,Pakistan,Pakistan,bat,Pakistan,"Yeonhui Cricket Ground, Incheon"
15493,778009,2014,2014-09-25,Asian Games Women's Cricket Competition,female,IT20,China,Pakistan,Pakistan,field,Pakistan,"Yeonhui Cricket Ground, Incheon"
15494,778011,2014,2014-09-25,Asian Games Women's Cricket Competition,female,IT20,Bangladesh,Sri Lanka,Bangladesh,bat,Bangladesh,"Yeonhui Cricket Ground, Incheon"
15499,778005,2014,2014-09-24,Asian Games Women's Cricket Competition,female,IT20,Pakistan,Thailand,Thailand,field,Pakistan,"Yeonhui Cricket Ground, Incheon"
15500,778001,2014,2014-09-23,Asian Games Women's Cricket Competition,female,IT20,China,Japan,Japan,bat,China,"Yeonhui Cricket Ground, Incheon"
15501,778003,2014,2014-09-23,Asian Games Women's Cricket Competition,female,IT20,Hong Kong,Sri Lanka,Sri Lanka,bat,Sri Lanka,"Yeonhui Cricket Ground, Incheon"
15502,777997,2014,2014-09-22,Asian Games Women's Cricket Competition,female,IT20,Malaysia,Nepal,Malaysia,field,Nepal,"Yeonhui Cricket Ground, Incheon"
15503,777999,2014,2014-09-22,Asian Games Women's Cricket Competition,female,IT20,South Korea,Hong Kong,Hong Kong,bat,Hong Kong,"Yeonhui Cricket Ground, Incheon"
15504,777995,2014,2014-09-21,Asian Games Women's Cricket Competition,female,IT20,Nepal,Thailand,Thailand,field,Thailand,"Yeonhui Cricket Ground, Incheon"
15506,777991,2014,2014-09-20,Asian Games Women's Cricket Competition,female,IT20,Malaysia,Thailand,Malaysia,bat,Thailand,"Yeonhui Cricket Ground, Incheon"
16377,640959,2013,2013-08-01,ICC Women's World Twenty20 Qualifier,female,IT20,Ireland,Netherlands,Netherlands,field,Ireland,"YMCA Cricket Club, Dublin"
16381,640951,2013,2013-07-29,ICC Women's World Twenty20 Qualifier,female,IT20,Netherlands,Sri Lanka,Netherlands,field,Sri Lanka,"YMCA Cricket Club, Dublin"
16382,640949,2013,2013-07-29,ICC Women's World Twenty20 Qualifier,female,IT20,Japan,Zimbabwe,Zimbabwe,field,Zimbabwe,"The Village, Malahide, Dublin"
16388,640939,2013,2013-07-27,ICC Women's World Twenty20 Qualifier,female,IT20,Thailand,Zimbabwe,Thailand,field,Zimbabwe,"The Vineyard, Dublin"
16389,640941,2013,2013-07-27,ICC Women's World Twenty20 Qualifier,female,IT20,Netherlands,Pakistan,Netherlands,field,Pakistan,"Merrion Cricket Club Ground, Dublin"
16390,640943,2013,2013-07-27,ICC Women's World Twenty20 Qualifier,female,IT20,Canada,Japan,Canada,field,Canada,"The Vineyard, Dublin"
16393,640931,2013,2013-07-25,ICC Women's World Twenty20 Qualifier,female,IT20,Ireland,Canada,Ireland,bat,Ireland,"Merrion Cricket Club Ground, Dublin"
16394,640935,2013,2013-07-25,ICC Women's World Twenty20 Qualifier,female,IT20,Japan,Sri Lanka,Sri Lanka,field,Sri Lanka,"Merrion Cricket Club Ground, Dublin"
16398,640929,2013,2013-07-23,ICC Women's World Twenty20 Qualifier,female,IT20,Pakistan,Thailand,Pakistan,bat,Pakistan,"YMCA Cricket Club, Dublin"
